233
1679.73 2044.86 0.125,60 75 202 222,undefined,,,
2046.99 1676 0.125,61 75 203 218,undefined,,,
1500.32 1502.55 0.386306,60 174 61 179,undefined,,,
1501.44 924.49 0.056743,179 173 62 178,undefined,,,
1503.56 348.773 0.125,178 93 171 177,undefined,,,
1502.42 -354.363 0.332915,177 63 169 176,undefined,,,
1504.24 -918.102 1.68939,176 167 64 175,undefined,,,
1499.76 -1509.46 0.125,165 68 65 175,undefined,,,
916.726 -1496.18 3.46509,164 158 67 165,undefined,,,
915.107 -929.395 0.374445,163 156 164 167,undefined,,,
928.451 -343.755 0.125001,162 154 163 169,undefined,,,
916.043 353.935 3.1292,152 160 162 171,undefined,,,
926.784 922.125 0.874332,161 159 160 173,undefined,,,
929.627 1506.67 0.125001,150 59 161 174,undefined,,,
346.991 1507.92 0.125001,135 139 58 150,undefined,,,
351.508 929.71 0.125,136 138 139,undefined,,,
351.793 350.183 0.125,138 152,undefined,,,
353.699 -352.699 0.125,148 154,undefined,,,
355.625 -929.308 0.125,144 147 148 156,undefined,,,
354.576 -1505.62 0.125,146 66 147 158,undefined,,,
-345.479 -1494.18 0.124998,121 47 130 146,undefined,,,
-349.729 -926.477 0.495154,122 130 131 144,undefined,,,
-351.874 -350.145 0.125001,124 131 132,undefined,,,
-348.777 352.049 0.124999,126 132 133,undefined,,,
-353.893 934.211 1.16374,128 133 134 136,undefined,,,
-352.779 1504.05 0.188176,129 134 55 135,undefined,,,
-931.549 1503.1 0.125,98 115 56 129,undefined,,,
-1498.88 1507.67 0.125,99 57 54 98,undefined,,,
-926.109 924.932 0.443296,116 112 115 128,undefined,,,
-926.814 350.122 3.39926,117 114 116 126,undefined,,,
-931.297 -358.422 0.125001,118 117 108 124,undefined,,,
-931.203 -1506.77 3.23564,48 105 119 121,undefined,,,
-1497.48 -1509.47 0.124999,49 103 52 105,undefined,,,
-1499.47 -923.463 0.124999,103 102 51 106,undefined,,,
-1508.3 -351.834 0.124999,102 101 50 108,undefined,,,
-1505.86 356.033 0.125001,101 100 53 114,undefined,,,
-1504.77 934.776 0.125001,100 99 110 112,undefined,,,
