178
650.622 2242.89 285.291,1 2 73 3,stand,,,
313.402 2139.26 267.866,0 3 4,stand,,,
894.277 1608.37 290.126,0 68 72 73,stand,,,
335.566 1987.55 273.002,4 1 0,stand,,,
173.759 1912.23 271.846,3 1 5 82 83,stand,,,
-118.335 1809.36 270.073,4 6 75 83 160 161,stand,,,
-182.409 1990.98 265.811,5 7 160,stand,,,
-487.538 1888.35 256.402,6 8 9 172,stand,,,
-737.435 1577.65 172.387,7 11 123 172,stand,,,
-1003.63 1634.43 260.125,7 10,stand,,,
-1521.41 1426.3 249.016,9 13 14 12 174,stand,,,
-978.013 1466.31 135.103,8 12 123 175,stand,,,
-1416.72 1330.22 240.442,11 13 14 10 123,stand,,,
-1635.32 1204.78 262.422,10 12 16,stand,,,
-1827.09 1412.03 266.036,10 12 15,stand,,,
-2049.56 1321.28 281.181,16 14 20 21 22,stand,,,
-1906.71 1067.25 278.988,13 15 17 22,stand,,,
-1841.28 838.677 267.324,16 18 22 28,stand,,,
-2003.57 761.688 284.254,19 17 23,stand,,,
-2099.67 910.235 290.961,18 20 22,stand,,,
-2233.54 1071.6 284.378,19 15 21,stand,,,
-2274.91 1294.83 289.992,20 15,stand,,,
-1916.5 982.011 279.58,19 17 16 15,stand,,,
-2065.88 569.199 271.656,18 24,stand,,,
-2002.36 327.499 259.333,23 25,stand,,,
-1777.06 199.74 246.205,26 24 27 167 168,stand,,,
-1783.79 -13.295 274.201,25 27 29 167,stand,,,
-1508.4 345.599 245.144,28 25 26 129 130 167,stand,,,
-1568.54 686.687 246.002,17 27 130,stand,,,
-1980.43 -186.544 283.394,26 30 166 168,stand,,,
-1861.63 -534.097 270.355,29 31 32 166,stand,,,
-1614.82 -658.772 320.363,30 32 137 138,stand,,,
-1745.72 -967.434 354.115,30 31 33,stand,,,
-1746.58 -1283.68 371.691,32 34,stand,,,
-1266.47 -1588.84 374.072,33 35 139 138 140 37 170,stand,,,
-911.232 -1962.13 361.609,36 34 37 40 41 141 150 170,stand,,,
-709.918 -1756.84 331.778,35 41 142,stand,,,
-948.434 -2377.95 360.537,35 38 34,stand,,,
-633.28 -2597.42 340.636,37 39 40 43,stand,,,
219.839 -3285.64 370.123,38 43 42 46,stand,,,
-499.592 -2259.86 302.752,38 35 41 45,stand,,,
-257.247 -2061.78 328.669,40 35 36 42 44 45 46 150,stand,,,
217.412 -2605.9 339.776,43 41 45 39 46 47 171,stand,,,
-234.072 -2979.33 299.288,38 39 42,stand,,,
-28.6996 -1891.2 283.673,41 45 117,stand,,,
-137.405 -2127.65 326.659,44 41 42 40,stand,,,
431.765 -2606.01 368.065,42 41 39 47 171,stand,,,
535.748 -2278.94 377.144,46 42 48 171,stand,,,
488.422 -1836.45 326.746,47 49 145 152,stand,,,
664.9 -1200.88 261.182,48 50 51 152 153 164,stand,,,
457.439 -1022 223.864,49 116 144,stand,,,
953.977 -1063.5 262.995,49 52 114 115 153 164,stand,,,
1274.95 -582.752 272.208,51 53 101 115,stand,,,
1696.03 -479.763 232.834,52 54 55 115 154,stand,,,
1792.69 -437.236 233.432,53 58,stand,,,
1628.99 -146.566 243,58 53 57 154,stand,,,
1703.37 35.7228 231.576,57 58,stand,,,
1571.84 130.673 236.011,56 55 59 98,stand,,,
1754.79 -123.211 232.045,56 55 54,stand,,,
1572.21 430.977 240.125,57 60 61 98,stand,,,
1580.18 629.174 244.625,59 62 66 159 61,stand,,,
1727.64 678.899 243.039,59 62 157 60,stand,,,
1655.69 860.344 240.125,63 61 60 66 67,stand,,,
1581.47 1079.3 242.519,64 62 65 157,stand,,,
1502.91 1288.97 235.313,63 67,stand,,,
1460.87 1060.95 242.125,66 63 67 69 157,stand,,,
1564.54 800.817 240.125,65 60 62,stand,,,
1350.25 1226.07 240.669,64 65 62 68,stand,,,
1091.04 1152.14 240.121,67 69 2 71 107,stand,,,
1180.45 980.991 240.125,65 68 70 157,stand,,,
1069.85 991.595 240.125,69 71 107,stand,,,
935.163 950.744 240.125,68 70 93,stand,,,
570.579 1579.13 278.947,2 74 75 77 79 82,stand,,,
770.234 1957.33 276.559,0 2 74 158,stand,,,
518.596 1793.3 274.389,72 73 75 79 82,stand,,,
305.432 1583.17 276.074,74 72 76 79 5 83,stand,,,
432.542 1473.76 274.15,75 78 79,stand,,,
625.853 1399.34 283.073,72 78,stand,,,
468.98 1349.24 281.317,77 76 80 81,stand,,,
380.866 1605.37 276.579,75 74 72 76,stand,,,
348.518 1362.92 288.625,78,crouch,9.27124 -14.1339 0,,
603.809 1304.32 282.322,78,crouch,1.58081 143.289 0,,
388.315 1788.01 275.122,4 74 72,stand,,,
68.2727 1380.9 261.294,75 4 5 84 86 161,stand,,,
-390.503 986.901 299.284,85 83 86 87 146 161,stand,,,
-905.157 716.801 277.816,84 88 129 130 131,stand,,,
121.748 1217.63 264.457,83 84 89 104 161,stand,,,
-528.045 1100.85 302.526,84,crouch,6.96411 14.1504 0,,
-796.989 532.401 274.213,85,crouch,4.65698 -166.718 0,,
235.265 1055.63 262.774,90 86 91,stand,,,
3.58412 950.282 262.946,89,crouch,1.58081 -2.59827 0,,
408.802 846.382 263.047,92 89 93 94,stand,,,
477.403 551.019 265.824,91 95,stand,,,
765.355 903.238 285.552,71 91 94 106 105,stand,,,
646.047 850.757 275.258,93 91 95,stand,,,
677.302 536.34 275.787,92 94 96 110 162,stand,,,
967.084 272.679 270.912,97 95 99 110,stand,,,
1035.92 124.166 266.568,96 98 101 102 103 155 156,stand,,,
1554.07 291.536 237.019,97 57 59,stand,,,
1236.48 403.372 286.725,100 96 109,stand,,,
1295.54 204.036 269.484,99,stand,,,
