582
868 136 0,1 3 5 7,stand,,,
636 308 71,0 2,stand,,,
481 361 129,1,stand,,,
765 75 0,4 0 5 64,stand,,,
471 239 0,3 64 63 65 58 8,stand,,,
935 28 0,6 3 0 64,stand,,,
1079 128 0,5 12 7,stand,,,
844 426 0,0 8 66 6,stand,,,
507 560 0,7 9 65 4 66,stand,,,
489 713 0,8 10 57 56 546,stand,,,
763 689 8,9 11,stand,,,
978 729 0,10 13 67 54 69,stand,,,
1085 353 0,6 13 67,stand,,,
1091 664 0,12 14 66 11 328,stand,,,
1103 976 0,13 15 69,stand,,,
1045 1098 0,14 16 54,stand,,,
1050 1318 0,15 17 54 74,stand,,,
1111 1475 0,16 18,stand,,,
1100 1692 0,17 19,stand,,,
1050 1866 0,18 20,stand,,,
1054 2063 0,19 21 76 77 78 89,stand,,,
1100 2374 0,20 22 84 88 77 317,stand,,,
1056 2661 0,21 23 90 84,stand,,,
1058 2952 0,22 24 90 91 42,stand,,,
1108 3150 0,23 25,stand,,,
1052 3592 0,24 26 91 101 102,stand,,,
1052 3808 0,25 27 102 104,stand,,,
1106 4081 0,26 28 105 104 305,stand,,,
1054 4312 0,27 29 105,stand,,,
758 4338 0,28 30 105 107 108,stand,,,
478 4334 0,29 31 108,stand,,,
322 4141 0,30 32 33 108 111,stand,,,
168 4326 0,31 33,stand,,,
163 4125 0,32 31 34 111 118,stand,,,
163 3811 0,33 35 98,stand,,,
176 3610 0,34 36 98,stand,,,
176 3551 39,35 37,stand,,,
170 3476 59,36 38,stand,,,
176 3245 8,37 39,stand,,,
220 3055 8,38 40,stand,,,
294 2926 0,39 41 43 95 112,stand,,,
464 3055 8,40 42,stand,,,
798 3108 0,41 91 92 23 93,stand,,,
396 2911 0,40 44 114,stand,,,
423 2544 0,43 45 112 114,stand,,,
446 2271 0,44 46 49 114,stand,,,
201 2266 0,45 47 49 255,stand,,,
190 2486 0,46 48,stand,,,
181 2748 0,47 117,stand,,,
348 2142 0,46 45 50 80,stand,,,
285 1878 0,49 51 79 73,stand,,,
320 1532 0,50 52 72 79,stand,,,
337 1333 0,51 53 68 72,stand,,,
656 1229 0,52 54 71,stand,,,
931 1119 0,53 55 16 15 11 70,stand,,,
843 837 0,54 56 69,stand,,,
609 829 0,55 57 9 546,stand,,,
341 810 0,56 58 68 9 546,stand,,,
308 552 0,57 59 60 4,stand,,,
163 436 0,58 60 63 65 248,stand,,,
239 577 0,58 61 59,stand,,,
202 765 8,60 62,stand,,,
176 919 8,61,stand,,,
221 129 0,59 64 4,stand,,,
568 18 0,63 5 3 4,stand,,,
594 452 0,4 8 59 66,stand,,,
895 569 0,65 13 67 7 67 8,stand,,,
978 448 0,11 12 66 66,stand,,,
316 1022 0,52 57,stand,,,
957 836 0,55 11 14,stand,,,
762 1382 0,54 71 73 75 74,stand,,,
625 1382 0,70 53 72,stand,,,
467 1441 0,71 73 51 52,stand,,,
